Nuclide,Mass_Excess_keV,Mass_Uncertainty_keV,Half_Life,Spin_Parity,Year,Decay_Modes,Mass_Number,Element,Isomer
273Hs,131770#,370#,1060ms500,,2010.0,,273,Hs,s
273Mt,134780#,420#,,,,,273,Mt,t
273Rg,142890#,400#,,,,,273,Rg,
273Sg,129920#,400#,,,,,273,Sg,
274Bh,133760#,580#,,,57.0,α=100,274,Bh,
274Ds,139200#,390#,,0+,,,274,Ds,s
274Hs,133410#,470#,,0+,,,274,Hs,s
274Mt,137250#,380#,850ms540,,2007.0,α=100,274,Mt,t
274Rg,144610#,210#,20ms11,,2004.0,,274,Rg,
275Bh,135780#,600#,,,,,275,Bh,
275Ds,141670#,340#,,,,,275,Ds,s
275Hsp,136750#,600#,,,,,275,Hs,p
275Hs,136490#,590#,280ms130,,2004.0,α=100,275,Hs,s
275Mt,138770#,390#,31ms17,,2004.0,α=100,275,Mt,t
275Rg,145400#,450#,,,,,275,Rg,
276Bh,138950#,600#,,,,,276,Bh,
276Cn,150360#,500#,,0+,,,276,Cn,n
276Ds,142540#,550#,,0+,,,276,Ds,s
276Hs,138190#,720#,,0+,,,276,Hs,s
276Mtm,141560#,540#,,,250.0,α=100,276,Mt,m
276Mt,141310#,530#,700ms80,,2004.0,α=100,276,Mt,t
276Rg,147390#,630#,,,,,276,Rg,
277Bh,141100#,600#,,,,,277,Bh,
277Cn,152330#,150#,,,790.0,α=100,277,Cn,n
277Ds,145090#,390#,6ms3,,2010.0,,277,Ds,s
277Hsm,141480#,460#,,,130.0,SF=100,277,Hs,m
277Hsp,142000#,490#,,,,,277,Hs,p
277Hs,141380#,450#,12ms9,,2010.0,,277,Hs,s
277Mt,143010#,660#,,,2013.0,SF=100;α?,277,Mt,t
277Rg,148410#,470#,,,,,277,Rg,
278Bh,144370#,400#,,,2016.0,,278,Bh,
278Cn,152840#,440#,,0+,,,278,Cn,n
278Ds,146250#,510#,,0+,,,278,Ds,s
278Hs,143220#,300#,,0+,2016.0,,278,Hs,s
278Mtp,146160#,590#,,,,,278,Mt,p
278Mt,145770#,580#,,,2010.0,α=100,278,Mt,t
278Nh,159030#,220#,2.3ms1.3,,2004.0,,278,Nh,
278Rg,150520#,390#,8ms5,,2007.0,α=100,278,Rg,
279Cn,155020#,400#,,,,,279,Cn,n
279Dsp,149250#,610#,,,,,279,Ds,p
279Ds,149020#,610#,210ms40,,2004.0,SF=885;α=125,279,Ds,s
279Hs,146500#,600#,,,,,279,Hs,s
279Mt,147590#,670#,,,,,279,Mt,t
279Nh,159460#,600#,,,,,279,Nh,
279Rgp,151760#,430#,,,,,279,Rg,p
279Rg,151720#,420#,170ms110,,2004.0,α=100,279,Rg,
280Cn,155650#,580#,,0+,,,280,Cn,n
280Ds,150320#,750#,25ms20,0+,,SF=100,280,Ds,s
280Hs,148420#,600#,,0+,,,280,Hs,s
280Mt,150510#,600#,,,,,280,Mt,t
280Nh,161240#,400#,,,,,280,Nh,
280Rg,153890#,530#,,,2004.0,α=100,280,Rg,
281Cn,157950#,400#,180ms80,,2010.0,,281,Cn,n
281Dsm,153350#,460#,,,2012.0,α=100,281,Ds,m
281Dsp,153340#,500#,,,,,281,Ds,p
281Ds,153270#,490#,,,14.0,SF=907;α=107,281,Ds,s
281Mt,152400#,600#,,,,,281,Mt,t
281Nh,161810#,300#,,,,,281,Nh,
281Rg,155330#,770#,,,19.0,SF=878;α=138,281,Rg,
282Cn,158830#,550#,1.1ms0.3,0+,2004.0,,282,Cn,n
282Ds,154790#,300#,,0+,2016.0,,282,Ds,s
282Mt,155460#,450#,,,2016.0,,282,Mt,t
282Nh,163730#,400#,140ms90,,2007.0,α=100,282,Nh,
282Rg,157740#,590#,,,130.0,α=100,282,Rg,
283Cn,161340#,620#,,,2004.0,α=81;SF=19,283,Cn,n
283Ds,157830#,500#,,,,,283,Ds,s
283Nh,164560#,440#,140ms90,,2004.0,α=100,283,Nh,
283Rg,159380#,680#,,,,,283,Rg,
284Cn,162420#,760#,102ms17,0+,2004.0,SF=100,284,Cn,n
284Ds,159460#,500#,,0+,,,284,Ds,s
284Fl,168780#,660#,3.1ms1.3,0+,2015.0,,284,Fl,
284Nh,166590#,530#,,,2004.0,α=100,284,Nh,
284Rg,161970#,500#,,,,,284,Rg,
285Cnm,165620#,460#,,,15.0,α=100,285,Cn,m
285Cn,165090#,510#,,,30.0,α=100,285,Cn,n
285Fl,170930#,400#,210ms100,,2010.0,,285,Fl,
285Nh,167770#,780#,,,2010.0,α=100,285,Nh,
285Rg,163730#,600#,,,,,285,Rg,
286Cn,166450#,700#,,0+,30.0,,286,Cn,n
286Fl,171610#,550#,130ms30,0+,2004.0,α=5911;SF=4111,286,Fl,
286Nh,169960#,590#,,,12.0,α=100,286,Nh,
286Rg,166510#,460#,,,2016.0,,286,Rg,
287Cn,169370#,700#,,,,,287,Cn,n
287Fl,173930#,620#,510ms120,,2004.0,,287,Fl,
287Mc,177750#,440#,60ms30,,2004.0,α=100,287,Mc,
287Nh,171460#,710#,,,,,287,Nh,
288Cn,170930#,700#,,0+,,,288,Cn,n
288Fl,174920#,760#,653ms113,0+,2004.0,,288,Fl,
288Mc,179670#,540#,177ms20,,2004.0,α=100,288,Mc,
288Nh,173970#,700#,,,,,288,Nh,
289Flm,178220#,470#,,,2012.0,α=100,289,Fl,m
289Fl,177470#,510#,,,2004.0,,289,Fl,
289Lv,184460#,500#,,,,,289,Lv,v
289Mc,180680#,780#,410ms150,,2010.0,α=100,289,Mc,
289Nh,175550#,500#,,,,,289,Nh,
290Fl,178730#,700#,,0+,80.0,,290,Fl,
290Lv,185030#,550#,9ms3,0+,2004.0,,290,Lv,v
290Mc,182790#,590#,840ms360,,2010.0,α=100,290,Mc,
290Nh,178320#,470#,,,2016.0,,290,Nh,
291Fl,181500#,700#,,,,,291,Fl,
291Lv,187240#,620#,26ms12,,2004.0,,291,Lv,v
291Mc,184180#,740#,,,,,291,Mc,
291Ts,191650#,600#,,,,,291,Ts,s
292Lv,188130#,760#,16ms6,0+,2004.0,,292,Lv,v
292Mc,186600#,700#,,,,,292,Mc,
292Ts,193620#,670#,,,,,292,Ts,s
293Lvm,191290#,470#,80ms60,,2012.0,α=100,293,Lv,m
293Lv,190570#,520#,70ms30,,2004.0,,293,Lv,v
293Og,198800#,710#,,,2010.0,,293,Og,
293Ts,194430#,780#,25ms6,,2010.0,α=100,293,Ts,s
294Og,199320#,550#,0.7ms0.3,0+,2004.0,,294,Og,
294Ts,196400#,590#,70ms30,,2010.0,α=100,294,Ts,s
295Og,201370#,660#,680ms540,,2006.0,,295,Og,
